DATE,BSCICP03USM665S
1950-01-01,103.2273333333333333
1951-01-01,99.7924216666666667
1952-01-01,98.9422966666666675
1953-01-01,98.4091125000000000
1954-01-01,99.4022458333333325
1955-01-01,102.6813500000000000
1956-01-01,100.0947383333333325
1957-01-01,98.1399775000000000
1958-01-01,99.4111433333333333
1959-01-01,101.5366533333333325
1960-01-01,98.5982066666666667
1961-01-01,100.7434683333333333
1962-01-01,100.2594025000000000
1963-01-01,100.7463166666666667
1964-01-01,101.6200000000000000
1965-01-01,101.6760333333333333
1966-01-01,101.4492533333333325
1967-01-01,99.2339791666666667
1968-01-01,100.3921533333333325
1969-01-01,100.3561591666666650
1970-01-01,98.4873266666666650
1971-01-01,100.0983299999999992
1972-01-01,102.1109750000000008
1973-01-01,102.7863166666666650
1974-01-01,99.6446666666666667
1975-01-01,98.1634949999999975
1976-01-01,100.7665333333333333
1977-01-01,100.7450583333333333
1978-01-01,101.3405750000000000
1979-01-01,99.8692125000000000
1980-01-01,98.0089641666666650
1981-01-01,98.5017008333333325
1982-01-01,96.7368416666666675
1983-01-01,101.2751800000000008
1984-01-01,100.6200058333333325
1985-01-01,99.1016666666666658
1986-01-01,99.5416300000000008
1987-01-01,100.9083625000000000
1988-01-01,100.6809500000000000
1989-01-01,99.0469733333333325
1990-01-01,98.4932866666666658
1991-01-01,98.6500033333333358
1992-01-01,99.8731933333333333
1993-01-01,99.8259625000000017
1994-01-01,101.0373333333333333
1995-01-01,99.1442100000000000
1996-01-01,99.3048616666666667
1997-01-01,100.4010750000000000
1998-01-01,99.3546641666666675
1999-01-01,100.2853858333333333
2000-01-01,99.6450333333333350
2001-01-01,97.9622391666666667
2002-01-01,99.8015608333333317
2003-01-01,99.9967541666666683
2004-01-01,101.6159083333333325
2005-01-01,100.5022916666666667
2006-01-01,99.9739833333333333
2007-01-01,99.5545541666666658
2008-01-01,98.3152941666666658
2009-01-01,98.4426166666666667
2010-01-01,100.8938083333333333
2011-01-01,100.4264458333333325
2012-01-01,99.6797941666666667
2013-01-01,100.0684925000000000
2014-01-01,100.5532083333333333
2015-01-01,99.5870608333333317
2016-01-01,99.6260500000000017
2017-01-01,100.9578833333333325
2018-01-01,101.2538833333333333
2019-01-01,99.5635550000000017
2020-01-01,99.7696166666666667
2021-01-01,101.6562249999999992
2022-01-01,100.0684908333333333
2023-01-01,98.6539991666666683
