Year,Deflator
1960-10-01,17.288791111975
1961-10-01,17.471274339775
1962-10-01,17.684298963725
1963-10-01,17.886110974675
1964-10-01,18.158904689325
1965-10-01,18.4900535016
1966-10-01,19.008937934475
1967-10-01,19.560244341424998
1968-10-01,20.39219939865
1969-10-01,21.3947896053
1970-10-01,22.5247474442
1971-10-01,23.665001484375
1972-10-01,24.686178733974998
1973-10-01,26.041327391825
1974-10-01,28.391441332699998
1975-10-01,31.008399037975003
1976-10-01,32.72006900425
1977-10-01,34.7486268938
1978-10-01,37.18513276115
1979-10-01,40.283762683825
1980-10-01,43.928669400299995
1981-10-01,48.084767843775
1982-10-01,51.0548338581
1983-10-01,53.0425001667
1984-10-01,54.962158972125
1985-10-01,56.702471741075
1986-10-01,57.84697924315
1987-10-01,59.27572335835
1988-10-01,61.365480676475
1989-10-01,63.775871257375
1990-10-01,66.16809267837499
1991-10-01,68.401610152825
1992-10-01,69.958510701825
1993-10-01,71.61812498385001
1994-10-01,73.14661468555
1995-10-01,74.68227276555
1996-10-01,76.047867589675
1997-10-01,77.359961807775
1998-10-01,78.229388463125
1999-10-01,79.335115446025
2000-10-01,81.133176878825
2001-10-01,82.96410008424999
2002-10-01,84.252097565725
2003-10-01,85.910244811325
2004-10-01,88.220440807725
2005-10-01,90.98820443860001
2006-10-01,93.797410788075
2007-10-01,96.337533512025
2008-10-01,98.20165527715
2009-10-01,98.80253708495
2010-10-01,100.0
2011-10-01,102.064373468225
2012-10-01,103.9665606257
2013-10-01,105.733484268125
2014-10-01,107.57371554445001
2015-10-01,108.5756412441
2016-10-01,109.6058635524
2017-10-01,111.56654889810001
2018-10-01,114.124685798375
2019-10-01,116.0389300171
2020-10-01,117.55889371435
2021-10-01,122.9359379852
2022-10-01,131.61648122232498
2023-10-01,136.40116491215
