DATE,USHOWN
1984-01-01,64.5
1985-01-01,63.9
1986-01-01,63.8
1987-01-01,64.0
1988-01-01,63.8
1989-01-01,63.9
1990-01-01,63.9
1991-01-01,64.1
1992-01-01,64.1
1993-01-01,64.0
1994-01-01,64.0
1995-01-01,64.7
1996-01-01,65.4
1997-01-01,65.7
1998-01-01,66.3
1999-01-01,66.8
2000-01-01,67.4
2001-01-01,67.8
2002-01-01,67.9
2003-01-01,68.3
2004-01-01,69.0
2005-01-01,68.9
2006-01-01,68.8
2007-01-01,68.1
2008-01-01,67.8
2009-01-01,67.4
2010-01-01,66.9
2011-01-01,66.1
2012-01-01,65.4
2013-01-01,65.1
2014-01-01,64.5
2015-01-01,63.7
2016-01-01,63.4
2017-01-01,63.9
2018-01-01,64.4
2019-01-01,64.6
2020-01-01,66.6
2021-01-01,65.5
2022-01-01,65.8
2023-01-01,65.9
